Filename,Labels,Category
-0DdlOuIFUI.mp3,"Sink (filling or washing),Water tap, faucet,Water",Environmental Sounds
-0DLPzsiXXE.mp3,"Music,Ping",Musical Instruments
-0mjrMposBM.mp3,Train whistle,Vehicle Sounds
-0O3e95y4gE.mp3,"Knock,Inside, small room",Miscellaneous
-0SdAVK79lg.mp3,"Blues,Country,Guitar,Acoustic guitar,Music,Musical instrument,Strum,Plucked string instrument,Bluegrass",Musical Instruments
-11LhdJgBb8.mp3,"Music,Rattle",Musical Instruments
-1iKLvsRBbE.mp3,"Singing,Bang",Human Sounds
-1LrH01Ei1w.mp3,"Traditional music,Music",Musical Instruments
-275_wTLm-4.mp3,Squeak,Miscellaneous
-28U1_qW0sU.mp3,Ping,Miscellaneous
-2hQKCE-oTI.mp3,"Walk, footsteps",Miscellaneous
-2PDE7hUArE.mp3,"Engine,Idling,Medium engine (mid frequency)",Vehicle Sounds
-2X03mO3T_U.mp3,"Liquid,Boiling",Miscellaneous
-30H9V1IKps.mp3,"Vehicle,Speech,Air brake",Human Sounds
-38Qgsbh7NQ.mp3,"Organ,Electronic organ",Miscellaneous
-3hKkjKmIGE.mp3,"Boat, Water vehicle,Ship",Environmental Sounds
-3HYdaJyF4U.mp3,"Music,Ska",Musical Instruments
-3IGxVTJvgI.mp3,"Radio,Speech",Human Sounds
-3IYpJfLVJk.mp3,"Horse,Neigh, whinny,Animal",Animal Sounds
-3pPrlCm6gg.mp3,Clarinet,Miscellaneous
-4hZyOdm7EI.mp3,"Singing,Carnatic music",Human Sounds
-4NLarMj4xU.mp3,"Music,Tender music",Musical Instruments
-4RWqM0UCCY.mp3,"Ambulance (siren),Car alarm,Emergency vehicle,Siren",Vehicle Sounds
-4xJv59_zcA.mp3,"Splinter,Wood",Miscellaneous
-5DdYkYOjy0.mp3,Run,Miscellaneous
-5f6hjZf9Yw.mp3,"Folk music,Music",Musical Instruments
-5GhUbDLYkQ.mp3,"Sink (filling or washing),Water tap, faucet,Water",Environmental Sounds
-5Jlimvsuwo.mp3,"Timpani,Music",Musical Instruments
-5Kk-m7BmiE.mp3,"Flap,Clatter",Miscellaneous
-5S70zOSw30.mp3,"Buzzer,Crackle,Speech",Human Sounds
-5xOcMJpTUk.mp3,"Bass guitar,Guitar,Acoustic guitar,Music,Musical instrument,Speech,Plucked string instrument",Human Sounds
-60XojQWWoc.mp3,"Reversing beeps,Truck,Vehicle",Vehicle Sounds
-64xnyOswXA.mp3,"Roaring cats (lions, tigers)",Miscellaneous
-693sNKI3iM.mp3,"Singing,Yodeling,Music",Human Sounds
-6fxJZ7CW00.mp3,"Smash, crash",Impact Sounds
-6gC_nlUBfA.mp3,"Sliding door,Speech",Human Sounds
-6krAYK2LLo.mp3,"Music,Middle Eastern music,Soundtrack music",Musical Instruments
-6pcgdLfb_A.mp3,"Music,Exciting music",Musical Instruments
-6QGvxvaTkI.mp3,"Tabla,Drum,Percussion",Musical Instruments
-6RN8skIHU4.mp3,"Speech,Camera,Inside, small room",Human Sounds
-6x2PtSRfJU.mp3,"Cat,Domestic animals, pets,Meow,Speech",Animal Sounds
-70MzkgSsHQ.mp3,"Music,Mandolin",Musical Instruments
-70wVF5u-gg.mp3,Chopping (food),Miscellaneous
-75IwDlkzDQ.mp3,"Engine knocking,Engine",Vehicle Sounds
-76P3VHPuus.mp3,Heart murmur,Miscellaneous
-7J4109yM7w.mp3,"Engine,Vehicle,Engine starting",Vehicle Sounds
-7QVE8o9uk4.mp3,"Lawn mower,Music,Vehicle",Musical Instruments
-7wUQP6G5EQ.mp3,"Theme music,Folk music,Music",Musical Instruments
-7ye24UFRng.mp3,"Whale vocalization,Music",Musical Instruments
-7z662AsuTE.mp3,Gong,Miscellaneous
-8CrCItCO24.mp3,"Chink, clink",Miscellaneous
-8Ezw9946g8.mp3,Drawer open or close,Miscellaneous
-8fQePz4FcE.mp3,"Music,Ukulele,Inside, large room or hall",Musical Instruments
-8H4GKg-mYQ.mp3,"Music,Techno",Musical Instruments
-8n2NqDFRko.mp3,"Reversing beeps,Truck,Vehicle,Speech",Human Sounds
-8S_tLKfeJg.mp3,"Electric toothbrush,Speech,Inside, small room",Human Sounds
-8_HpHg6nCw.mp3,"Pump (liquid),Water",Environmental Sounds
-92cYmTgIjM.mp3,Humming,Miscellaneous
-99daJhXYJY.mp3,"Boat, Water vehicle,Motorboat, speedboat,Wind,Wind noise (microphone)",Environmental Sounds
-9c1c8G_WO8.mp3,"Television,Speech",Human Sounds
-9ek6eO0RtI.mp3,Doorbell,Miscellaneous
-9ME9qMgkeY.mp3,"Dental drill, dentist's drill,Helicopter",Vehicle Sounds
-9Nl3LZBCOo.mp3,"Zipper (clothing),Speech",Human Sounds
-9wxcZf43a4.mp3,Pink noise,Miscellaneous
-C5dEU4zpJg.mp3,"Finger snapping,Music",Musical Instruments
-DLL8LaKq-c.mp3,"Bang,Speech",Human Sounds
-Fby-7z_JpE.mp3,"Neigh, whinny",Miscellaneous
-i-9C48tduw.mp3,"Rain,Raindrop,Thunderstorm,Thunder",Environmental Sounds
-M-6VinyMiY.mp3,"Music,Sad music",Musical Instruments
-OaOY7-71ME.mp3,"Music,Dance music",Musical Instruments
-OYfLX-2kmU.mp3,"Christmas music,Music",Musical Instruments
-R0267o4lLk.mp3,"Cowbell,Drum,Drum kit,Drum roll,Rimshot,Snare drum,Bass drum,Percussion",Animal Sounds
-r1H8hBeYmw.mp3,"Cat,Domestic animals, pets,Meow,Caterwaul,Animal",Animal Sounds
-r7iz-9v9bA.mp3,"Music,Scary music",Musical Instruments
-R9gJXtS07g.mp3,"Music,Rumble",Musical Instruments
-WmL01c-4ZE.mp3,"Slam,Speech,Outside, urban or manmade",Human Sounds
0-3jSTs2Zsw.mp3,"Music,Bleat,Speech",Human Sounds
0-bqcP2usR4.mp3,"Music,Run,Speech",Human Sounds
0-DkUF7TnnI.mp3,"Rain,Raindrop",Environmental Sounds
0-fd-lvizrY.mp3,"Singing,Yodeling,Music",Human Sounds
0-FH0xbm4gQ.mp3,Fusillade,Miscellaneous
0-rNk6mnMCA.mp3,Air conditioning,Miscellaneous
00M9FhCet6s.mp3,"Singing,Music,Ska",Human Sounds
00mE-lhe_R8.mp3,Quack,Miscellaneous
00W1lcxW-WU.mp3,Whistle,Miscellaneous
0150dZu3Na8.mp3,"Female speech, woman speaking,Speech",Human Sounds
01B907_Gyys.mp3,"Sine wave,Chirp tone",Miscellaneous
01bTS8O2Xnc.mp3,"Ringtone,Music",Musical Instruments
01hjVJN9xCg.mp3,"Music,Choir,Male singing,Synthetic singing",Musical Instruments
01k1v-NgjWs.mp3,"Ding,Marimba, xylophone,Glockenspiel,Mallet percussion",Miscellaneous
01PzcPKT3_E.mp3,"Brass instrument,Trombone",Miscellaneous
01q8wKX4XEQ.mp3,Arrow,Miscellaneous
01xpKyI0rXA.mp3,"Skidding,Vehicle,Car,Race car, auto racing",Vehicle Sounds
021B2ozAjNg.mp3,"Conversation,Speech",Human Sounds
0298WjE3_tk.mp3,"Music,Angry music",Musical Instruments
02aq42RDm2Q.mp3,Vacuum cleaner,Machine and Tool Sounds
02JEvDAcq7U.mp3,"Doorbell,Speech",Human Sounds
02pl9PaQwmI.mp3,Child singing,Miscellaneous
02q5C77_xeQ.mp3,"Domestic animals, pets,Walk, footsteps,Speech,Dog,Animal",Animal Sounds
02Qntw26enM.mp3,"Music,Theremin,Inside, small room",Musical Instruments
02rLonMSO9k.mp3,"Smoke detector, smoke alarm",Miscellaneous
02R_w3cr1i4.mp3,"Run,Speech",Human Sounds
02tl_ek8f9I.mp3,"Engine,Idling,Vehicle,Car",Vehicle Sounds
02z_7DUC_74.mp3,Jingle bell,Miscellaneous
032FsMMKWqM.mp3,Lullaby,Miscellaneous
03frQGyrgQ4.mp3,"Music,Theremin",Musical Instruments
03kFLTZguBs.mp3,"Crying, sobbing,Speech",Human Sounds
03NLMEMi8-I.mp3,"Siren,Civil defense siren",Miscellaneous
03z0rpIkm5g.mp3,"Keys jangling,Music,Reggae,Ska",Musical Instruments
046ynbCwM90.mp3,"Music,Crow,Caw",Musical Instruments
04gv6MSFimA.mp3,"Splinter,Wood",Miscellaneous
04JKX_vlePE.mp3,"Smoke detector, smoke alarm,Speech",Human Sounds
04RDcHpgzTM.mp3,Telephone bell ringing,Miscellaneous
04SFLoexHDo.mp3,"Zither,Pizzicato",Miscellaneous
058Nv060Fz4.mp3,"Music,Bang",Musical Instruments
05OJDYeHLMc.mp3,"Music,Exciting music",Musical Instruments
05wEdbchyjM.mp3,"Alarm clock,Inside, small room",Miscellaneous
06Brdf83RZE.mp3,"Music,Tender music",Musical Instruments
06IU9WsEp3s.mp3,"Music,Music of Latin America,Salsa music",Musical Instruments
06J19koRu_4.mp3,Shuffling cards,Miscellaneous
06k-cXmaeAY.mp3,"Yip,Speech",Human Sounds
06kaFCdYJ3U.mp3,"Music,Sidetone",Musical Instruments
06OT6nqAuLM.mp3,"Jackhammer,Domestic animals, pets,Dog,Animal,Inside, small room",Animal Sounds
06PzXIqzQXM.mp3,Hammer,Miscellaneous
06sLGiMrWlw.mp3,"Music,Tender music",Musical Instruments
06yVT1kiZLY.mp3,Flap,Miscellaneous
07-3grCQ8EU.mp3,"Traditional music,Music,Wedding music",Musical Instruments
07-vpXo91XM.mp3,"Beatboxing,Music,Bellow,Hip hop music",Musical Instruments
075SHAj6J3Y.mp3,"Theme music,Music",Musical Instruments
07aVkZp3k7Q.mp3,"Snoring,Speech",Human Sounds
07eQfg1IXzw.mp3,"Timpani,Music,Speech",Human Sounds
