Filename,Labels
-0DdlOuIFUI.mp3,"Sink (filling or washing),Water"
-0DLPzsiXXE.mp3,Music
-0mjrMposBM.mp3,Train whistle
-0O3e95y4gE.mp3,Knock
-0SdAVK79lg.mp3,"Blues,Guitar,Acoustic guitar,Music,Musical instrument,Strum,Plucked string instrument,Bluegrass"
-11LhdJgBb8.mp3,Music
-1iKLvsRBbE.mp3,Singing
-1LrH01Ei1w.mp3,Traditional music
-275_wTLm-4.mp3,Squeak
-28U1_qW0sU.mp3,Ping
-2hQKCE-oTI.mp3,"Walk, footsteps"
-2PDE7hUArE.mp3,"Engine,Medium engine (mid frequency)"
-2X03mO3T_U.mp3,Liquid
-30H9V1IKps.mp3,"Vehicle,Air brake"
-38Qgsbh7NQ.mp3,Organ
-3hKkjKmIGE.mp3,"Boat, Water vehicle"
-3HYdaJyF4U.mp3,Music
-3IGxVTJvgI.mp3,Radio
-3IYpJfLVJk.mp3,"Horse,Animal"
-3pPrlCm6gg.mp3,Clarinet
-4hZyOdm7EI.mp3,Singing
-4NLarMj4xU.mp3,Music
-4RWqM0UCCY.mp3,"Ambulance (siren),Emergency vehicle,Siren"
-4xJv59_zcA.mp3,Splinter
-5DdYkYOjy0.mp3,Run
-5f6hjZf9Yw.mp3,Folk music
-5GhUbDLYkQ.mp3,"Sink (filling or washing),Water"
-5Jlimvsuwo.mp3,Timpani
-5Kk-m7BmiE.mp3,Flap
-5S70zOSw30.mp3,"Buzzer,Speech"
-5xOcMJpTUk.mp3,"Bass guitar,Acoustic guitar,Music,Musical instrument,Speech,Plucked string instrument"
-60XojQWWoc.mp3,"Reversing beeps,Vehicle"
-64xnyOswXA.mp3,"Roaring cats (lions, tigers)"
-693sNKI3iM.mp3,"Singing,Music"
-6fxJZ7CW00.mp3,"Smash, crash"
-6gC_nlUBfA.mp3,Sliding door
-6krAYK2LLo.mp3,"Music,Soundtrack music"
-6pcgdLfb_A.mp3,Music
-6QGvxvaTkI.mp3,"Tabla,Percussion"
-6RN8skIHU4.mp3,"Speech,Inside, small room"
-6x2PtSRfJU.mp3,"Cat,Meow,Speech"
-70MzkgSsHQ.mp3,Music
-70wVF5u-gg.mp3,Chopping (food)
-75IwDlkzDQ.mp3,Engine knocking
-76P3VHPuus.mp3,Heart murmur
-7J4109yM7w.mp3,"Engine,Engine starting"
-7QVE8o9uk4.mp3,"Lawn mower,Vehicle"
-7wUQP6G5EQ.mp3,"Theme music,Music"
-7ye24UFRng.mp3,Whale vocalization
-7z662AsuTE.mp3,Gong
-8CrCItCO24.mp3,"Chink, clink"
-8Ezw9946g8.mp3,Drawer open or close
-8fQePz4FcE.mp3,"Music,Inside, large room or hall"
-8H4GKg-mYQ.mp3,Music
-8n2NqDFRko.mp3,"Reversing beeps,Vehicle,Speech"
-8S_tLKfeJg.mp3,"Electric toothbrush,Inside, small room"
-8_HpHg6nCw.mp3,Pump (liquid)
-92cYmTgIjM.mp3,Humming
-99daJhXYJY.mp3,"Boat, Water vehicle,Wind,Wind noise (microphone)"
-9c1c8G_WO8.mp3,Television
-9ek6eO0RtI.mp3,Doorbell
-9ME9qMgkeY.mp3,"Dental drill, dentist's drill"
-9Nl3LZBCOo.mp3,Zipper (clothing)
-9wxcZf43a4.mp3,Pink noise
-C5dEU4zpJg.mp3,Finger snapping
-DLL8LaKq-c.mp3,Bang
-Fby-7z_JpE.mp3,"Neigh, whinny"
-i-9C48tduw.mp3,"Rain,Thunderstorm,Thunder"
-M-6VinyMiY.mp3,Music
-OaOY7-71ME.mp3,Music
-OYfLX-2kmU.mp3,Christmas music
-R0267o4lLk.mp3,"Cowbell,Drum kit,Drum roll,Rimshot,Snare drum,Bass drum,Percussion"
-r1H8hBeYmw.mp3,"Cat,Meow,Caterwaul,Animal"
-r7iz-9v9bA.mp3,Music
-R9gJXtS07g.mp3,Music
-WmL01c-4ZE.mp3,"Slam,Outside, urban or manmade"
0-3jSTs2Zsw.mp3,"Music,Speech"
0-bqcP2usR4.mp3,"Music,Speech"
0-DkUF7TnnI.mp3,Rain
0-fd-lvizrY.mp3,"Singing,Music"
0-FH0xbm4gQ.mp3,Fusillade
0-rNk6mnMCA.mp3,Air conditioning
00M9FhCet6s.mp3,"Singing,Ska"
00mE-lhe_R8.mp3,Quack
00W1lcxW-WU.mp3,Whistle
0150dZu3Na8.mp3,"Female speech, woman speaking"
01B907_Gyys.mp3,Sine wave
01bTS8O2Xnc.mp3,Ringtone
01hjVJN9xCg.mp3,"Music,Male singing,Synthetic singing"
01k1v-NgjWs.mp3,"Ding,Glockenspiel,Mallet percussion"
01PzcPKT3_E.mp3,Brass instrument
01q8wKX4XEQ.mp3,Arrow
01xpKyI0rXA.mp3,"Skidding,Car,Race car, auto racing"
021B2ozAjNg.mp3,Conversation
0298WjE3_tk.mp3,Music
02aq42RDm2Q.mp3,Vacuum cleaner
02JEvDAcq7U.mp3,Doorbell
02pl9PaQwmI.mp3,Child singing
02q5C77_xeQ.mp3,"Domestic animals, pets,Speech,Dog,Animal"
02Qntw26enM.mp3,"Music,Inside, small room"
02rLonMSO9k.mp3,"Smoke detector, smoke alarm"
02R_w3cr1i4.mp3,Run
02tl_ek8f9I.mp3,"Engine,Vehicle,Car"
02z_7DUC_74.mp3,Jingle bell
032FsMMKWqM.mp3,Lullaby
03frQGyrgQ4.mp3,Music
03kFLTZguBs.mp3,"Crying, sobbing"
03NLMEMi8-I.mp3,Siren
03z0rpIkm5g.mp3,"Keys jangling,Reggae,Ska"
046ynbCwM90.mp3,"Music,Caw"
04gv6MSFimA.mp3,Splinter
04JKX_vlePE.mp3,"Smoke detector, smoke alarm"
04RDcHpgzTM.mp3,Telephone bell ringing
04SFLoexHDo.mp3,Zither
058Nv060Fz4.mp3,Music
05OJDYeHLMc.mp3,Music
05wEdbchyjM.mp3,Alarm clock
06Brdf83RZE.mp3,Music
06IU9WsEp3s.mp3,"Music,Salsa music"
06J19koRu_4.mp3,Shuffling cards
06k-cXmaeAY.mp3,Yip
06kaFCdYJ3U.mp3,Music
06OT6nqAuLM.mp3,"Jackhammer,Dog,Animal,Inside, small room"
06PzXIqzQXM.mp3,Hammer
06sLGiMrWlw.mp3,Music
06yVT1kiZLY.mp3,Flap
07-3grCQ8EU.mp3,"Traditional music,Wedding music"
07-vpXo91XM.mp3,"Beatboxing,Bellow,Hip hop music"
075SHAj6J3Y.mp3,Theme music
07aVkZp3k7Q.mp3,Snoring
07eQfg1IXzw.mp3,"Timpani,Speech"
07J4uVMPSW4.mp3,"Bicycle,Speech"
07MJhv4uVlU.mp3,"Music,Speech"
07mS0mSTDjY.mp3,"Blues,Music,Speech,Dance music"
07vCFDpflcQ.mp3,Bird
07VlN0dItyc.mp3,Idling
07yYzDPUPX8.mp3,Basketball bounce
07ZERJd7-9c.mp3,Run
088pGlFlgb4.mp3,Giggle
08IPzx0imsA.mp3,Music
08JpxCv_Bek.mp3,Slam
08u-jdwjM74.mp3,Soul music
08U71rh7cDw.mp3,"Smash, crash"
08YFRFx-g7s.mp3,"Music,Distortion"
09aRpEfUxT0.mp3,Firecracker
09l9A1XVbpY.mp3,"Singing,Yell"
09prsO9YM2c.mp3,Music
09TC9Yj7SHM.mp3,Croak
09w-ZFasRvE.mp3,Conversation
09zT8qlC384.mp3,"Rain,Rain on surface"
09_A89lHfNo.mp3,Busy signal
0a3sS0cfsQk.mp3,"Bird flight, flapping wings"
0a6uLBmqZgA.mp3,Bagpipes
0AAvXso7C5c.mp3,Train whistle
0abfTrxjX-4.mp3,Music
0aCvJzMN-SE.mp3,Computer keyboard
0ADfdHN1N2w.mp3,Coin (dropping)
0ADP-O_V3vA.mp3,"Jazz,Wedding music,Rhythm and blues"
0aer7MFIYQk.mp3,"Cattle, bovinae,Livestock, farm animals, working animals"
0AGHo8V8HpM.mp3,Harpsichord
0AHA6Zz-ykw.mp3,Car passing by
0AhX-ReXovI.mp3,"Tabla,Percussion"
0aJ4ncKJqIg.mp3,Insect
0aKuES6SO2k.mp3,"Bird,Chirp, tweet"
0AlEfN3Ye0U.mp3,"Cutlery, silverware"
0amHVSbkaX8.mp3,Alarm
0arN4pk83lA.mp3,Breaking
0auuJJiE2xI.mp3,"Vehicle,Air brake"
0B3y6sa8jgw.mp3,"Computer keyboard,Snicker,Speech"
0bbgeqkDm6U.mp3,Crushing
0BFauf6TGGU.mp3,"Wind instrument, woodwind instrument"
0bV3_9--5PM.mp3,"Background music,Funny music"
0c6sZTvY_xc.mp3,Jingle (music)
0ccK49fwj1o.mp3,"Turkey,Gobble"
0CDP7zl6wCQ.mp3,Whispering
0cd_fXxQq3c.mp3,"Dental drill, dentist's drill"
0cjmAt96WEI.mp3,"Bicycle,Speech"
0cr9YtzgZT4.mp3,"Reversing beeps,Vehicle,Air brake"
0cS0h-5XVxU.mp3,Music
0ct9AETvIdE.mp3,Car alarm
0d3kh_lETKc.mp3,"Babbling,Speech"
0d5HRE6Jx3o.mp3,Clarinet
0DefiYiEF4E.mp3,"Music,Speech,Air brake"
0DgH-2g6Tmk.mp3,Scratch
0Djf1pI711g.mp3,Sigh
0dkcl7MGFyA.mp3,Bicycle bell
0dLpcotJusI.mp3,Radio
0DSVOjk2NfA.mp3,Engine knocking
0DYH0sqDXB8.mp3,"Funk,Soul music"
0e1wdxCx0ME.mp3,"Door,Speech"
0E8p38QTjgI.mp3,"Dishes, pots, and pans,Microwave oven"
0eAbf3x4foY.mp3,Ding
0Ed-5hq7AdE.mp3,"Engine,Vehicle"
0ehwxbvn3d0.mp3,"Music,Speech"
0EkXQKzNjkg.mp3,Car passing by
0eK_cwwvWAs.mp3,"Fowl,Cluck,Chicken, rooster"
0EM3MvTgPL4.mp3,Music
0EsJvIfMx0w.mp3,"Walk, footsteps"
0ew5tlxyZNg.mp3,Shuffling cards
0ewWspUqB6Y.mp3,"Wind instrument, woodwind instrument"
0exM1vzlKDg.mp3,Music
0ey3c39Vll8.mp3,"Sneeze,Speech"
0eymuxOpj8s.mp3,Camera
0EzWmAPwoTs.mp3,Music
